FROM,TO,Airlines,Frequency,Region in China,latitude,longitude
Beijing,Amsterdam,KLM,7,North,52.3745291,4.7585319
Beijing,Amsterdam,CHINA SOUTHERN,7,North,52.3745291,4.7585319
Shanghai,Amsterdam,KLM,11,East,52.3745291,4.7585319
Shanghai,Amsterdam,CHINA EASTERN,4,East,52.3745291,4.7585319
Xiamen,Amsterdam,KLM,3,East,52.3745291,4.7585319
Xiamen,Amsterdam,Xiamen,3,East,52.3745291,4.7585319
Chengdu,Amsterdam,KLM,4,West,52.3745291,4.7585319
Hangzhou,Amsterdam,KLM,3,East,52.3745291,4.7585319
Guangzhou,Amsterdam,CHINA SOUTHERN,7,South,52.3745291,4.7585319
Shenzhen,Frankfurt,AIR CHINA,3,South,50.1211277,8.49648
Shanghai,Frankfurt,CHINA EASTERN,7,East,50.1211277,8.49648
Shanghai,Frankfurt,AIR CHINA,7,East,50.1211277,8.49648
Shanghai,Frankfurt,LUFTHANSA,14,East,50.1211277,8.49648
Chengdu,Frankfurt,AIR CHINA,3,West,50.1211277,8.49648
Nanjing,Frankfurt,LUFTHANSA,5,East,50.1211277,8.49648
Changsha,Frankfurt,AIR CHINA,3,South,50.1211277,8.49648
Qingdao,Frankfurt,LUFTHANSA,3,East,50.1211277,8.49648
Beijing,Frankfurt,AIR CHINA,14,North,50.1211277,8.49648
Beijing,Frankfurt,LUFTHANSA,7,North,50.1211277,8.49648
Beijing,Paris,AIR CHINA,14,North,48.8588377,2.2775169
Beijing,Paris,AIR FRANCE,14,North,48.8588377,2.2775169
Shanghai,Paris,AIR CHINA,5,East,48.8588377,2.2775169
Shanghai,Paris,AIR FRANCE,14,East,48.8588377,2.2775169
Shanghai,Paris,CHINA EASTERN,14,East,48.8588377,2.2775169
Guangzhou,Paris,AIR FRANCE,5,South,48.8588377,2.2775169
Guangzhou,Paris,CHINA SOUTHERN,7,South,48.8588377,2.2775169
Wuhan,Paris,AIR FRANCE,3,South,48.8588377,2.2775169
Chengdu,Paris,AIR CHINA,3,West,48.8588377,2.2775169
Xian,Paris,HAINAN AIRLINE,3,West,48.8588377,2.2775169
Kunming,Paris,CHINA EASTERN,3,West,48.8588377,2.2775169
Chengdu,Madrid,CAPITAL AIRLINE,2,West,40.4378698,-3.8196207
Shanghai,Madrid,CHINA EASTERN,4,East,40.4378698,-3.8196207
Shanghai,Madrid,IBERIA,2,East,40.4378698,-3.8196207
Beijing,Madrid,AIR CHINA,4,North,40.4378698,-3.8196207
Beijing,Zurich,SWISS,7,North,47.3773697,8.3966319
Beijing,Zurich,AIR CHINA,3,North,47.3773697,8.3966319
Shanghai,Zurich,SWISS,7,East,47.3773697,8.3966319
Beijing,Berlin,HAINAN AIRLINE,5,North,52.5072111,13.1459682
Beijing,Dusseldorf,AIR CHINA,3,North,51.2383712,6.6742677
Beijing,Munich,AIR CHINA,7,North,48.1545703,11.2616557
Beijing,Munich,LUFTHANSA,7,North,48.1545703,11.2616557
Shanghai,Munich,LUFTHANSA,7,East,48.1545703,11.2616557
Shanghai,Munich,AIR CHINA,3,East,48.1545703,11.2616557
Shanghai,London,CHINA EASTERN,7,East,51.528308,-0.3817961
Shanghai,London,BRITISH AIRLINE,10,East,51.528308,-0.3817961
Shanghai,London,VIRGIN,7,East,51.528308,-0.3817961
Beijing,London,BRITISH AIRLINE,7,North,51.528308,-0.3817961
Beijing,London,AIR CHINA,14,North,51.528308,-0.3817961
Guangzhou,London,CHINA SOUTHERN,14,South,51.528308,-0.3817961
Shanghai,Barcelona,AIR CHINA,3,East,41.3947688,2.0787279
Beijing,Brussels,HAINAN AIRLINE,7,North,50.8549541,4.3053501
Xian,Rome,HAINAN AIRLINE,3,West,41.9097306,12.2558141
Chongqing,Rome,HAINAN AIRLINE,2,West,41.9097306,12.2558141
Wuhan,Rome,CHINA SOUTHERN,3,South,41.9097306,12.2558141
Shanghai,Rome,CHINA EASTERN,7,East,41.9097306,12.2558141
Beijing,Rome,AIR CHINA,7,North,41.9097306,12.2558141
Beijing,Rome,Alitalia,4,North,41.9097306,12.2558141
Nanjing,Milan,NEOS AIR,2,East,45.4626482,9.0376489
Beijing,Milan,AIR CHINA,7,North,45.4626482,9.0376489
Shanghai,Milan,AIR CHINA,7,North,45.4626482,9.0376489
Beijing,Stockholm,AIR CHINA,7,North,59.3258414,17.7073729
Shanghai,Copenhagen,SAS,7,East,55.6712474,12.4907992
Beijing,Copenhagen,SAS,7,North,55.6712474,12.4907992
